book_id,chap_num,para_num,sent_num,token_num,token_str,term_str
1,1,0,0,0,SUBJECT,subject
1,1,0,0,1,OF,of
1,1,0,0,2,THE,the
1,1,0,0,3,FIRST,first
1,1,0,0,4,BOOK,book
1,1,1,0,0,Man,man
1,1,1,0,1,is,is
1,1,1,0,2,born,born
1,1,1,0,3,free,free
1,1,1,1,0,,
1,1,1,1,1,and,and
1,1,1,1,2,everywhere,everywhere
1,1,1,1,3,he,he
1,1,1,1,4,is,is
1,1,1,1,5,in,in
1,1,1,1,6,chains,chains
1,1,1,2,0,,
1,1,1,2,1,One,one
1,1,1,2,2,thinks,thinks
1,1,1,2,3,himself,himself
1,1,1,2,4,the,the
1,1,1,2,5,master,master
1,1,1,2,6,of,of
1,1,1,2,7,others,others
1,1,1,2,8,and,and
1,1,1,2,9,still,still
1,1,1,2,10,remains,remains
1,1,1,2,11,a,a
1,1,1,2,12,greater,greater
1,1,1,2,13,slave,slave
1,1,1,2,14,than,than
1,1,1,2,15,they,they
1,1,1,3,0,,
1,1,1,3,1,How,how
1,1,1,3,2,did,did
1,1,1,3,3,this,this
1,1,1,3,4,change,change
1,1,1,3,5,come,come
1,1,1,3,6,about,about
1,1,1,4,0,,
1,1,1,4,1,I,i
1,1,1,4,2,do,do
1,1,1,4,3,not,not
1,1,1,4,4,know,know
1,1,1,5,0,,
1,1,1,5,1,What,what
1,1,1,5,2,can,can
1,1,1,5,3,make,make
1,1,1,5,4,it,it
1,1,1,5,5,legitimate,legitimate
1,1,1,6,0,,
1,1,1,6,1,That,that
1,1,1,6,2,question,question
1,1,1,6,3,I,i
1,1,1,6,4,think,think
1,1,1,6,5,I,i
1,1,1,6,6,can,can
1,1,1,6,7,answer,answer
1,1,1,7,0,,
1,1,2,0,0,If,if
1,1,2,0,1,I,i
1,1,2,0,2,took,took
1,1,2,0,3,into,into
1,1,2,0,4,account,account
1,1,2,0,5,only,only
1,1,2,0,6,force,force
1,1,2,0,7,and,and
1,1,2,0,8,the,the
1,1,2,0,9,effects,effects
1,1,2,0,10,derived,derived
1,1,2,0,11,from,from
1,1,2,0,12,it,it
1,1,2,0,13,I,i
1,1,2,0,14,should,should
1,1,2,0,15,say,say
1,1,2,1,0,,
1,1,2,1,1,"""As","""as"
1,1,2,1,2,long,long
1,1,2,1,3,as,as
1,1,2,1,4,a,a
1,1,2,1,5,people,people
1,1,2,1,6,is,is
1,1,2,1,7,compelled,compelled
1,1,2,1,8,to,to
1,1,2,1,9,obey,obey
1,1,2,1,10,and,and
1,1,2,1,11,obeys,obeys
1,1,2,1,12,it,it
1,1,2,1,13,does,does
1,1,2,1,14,well,well
1,1,2,2,0,,
1,1,2,2,1,as,as
1,1,2,2,2,soon,soon
1,1,2,2,3,as,as
1,1,2,2,4,it,it
1,1,2,2,5,can,can
1,1,2,2,6,shake,shake
1,1,2,2,7,off,off
1,1,2,2,8,the,the
1,1,2,2,9,yoke,yoke
1,1,2,2,10,and,and
1,1,2,2,11,shakes,shakes
1,1,2,2,12,it,it
1,1,2,2,13,off,off
1,1,2,2,14,it,it
1,1,2,2,15,does,does
1,1,2,2,16,still,still
1,1,2,2,17,better,better
1,1,2,3,0,,
1,1,2,3,1,for,for
1,1,2,3,2,regaining,regaining
1,1,2,3,3,its,its
1,1,2,3,4,liberty,liberty
1,1,2,3,5,by,by
1,1,2,3,6,the,the
1,1,2,3,7,same,same
1,1,2,3,8,right,right
1,1,2,3,9,as,as
1,1,2,3,10,took,took
1,1,2,3,11,it,it
1,1,2,3,12,away,away
1,1,2,3,13,either,either
1,1,2,3,14,it,it
1,1,2,3,15,is,is
1,1,2,3,16,justified,justified
1,1,2,3,17,in,in
1,1,2,3,18,resuming,resuming
1,1,2,3,19,it,it
1,1,2,3,20,or,or
1,1,2,3,21,there,there
1,1,2,3,22,was,was
1,1,2,3,23,no,no
1,1,2,3,24,justification,justification
1,1,2,3,25,for,for
1,1,2,3,26,those,those
1,1,2,3,27,who,who
1,1,2,3,28,took,took
1,1,2,3,29,it,it
1,1,2,3,30,away,away
1,1,2,4,0,"""",""""
1,1,2,4,1,But,but
1,1,2,4,2,the,the
1,1,2,4,3,social,social
1,1,2,4,4,order,order
1,1,2,4,5,is,is
1,1,2,4,6,a,a
1,1,2,4,7,sacred,sacred
1,1,2,4,8,right,right
1,1,2,4,9,which,which
1,1,2,4,10,is,is
1,1,2,4,11,the,the
1,1,2,4,12,basis,basis
1,1,2,4,13,of,of
1,1,2,4,14,all,all
1,1,2,4,15,other,other
1,1,2,4,16,rights,rights
1,1,2,5,0,,
1,1,2,5,1,Nevertheless,nevertheless
1,1,2,5,2,this,this
1,1,2,5,3,right,right
1,1,2,5,4,does,does
1,1,2,5,5,not,not
1,1,2,5,6,come,come
1,1,2,5,7,from,from
1,1,2,5,8,nature,nature
1,1,2,5,9,and,and
1,1,2,5,10,must,must
1,1,2,5,11,therefore,therefore
1,1,2,5,12,be,be
1,1,2,5,13,founded,founded
1,1,2,5,14,on,on
1,1,2,5,15,conventions,conventions
1,1,2,6,0,,
1,1,2,6,1,Before,before
1,1,2,6,2,coming,coming
1,1,2,6,3,to,to
1,1,2,6,4,that,that
1,1,2,6,5,I,i
1,1,2,6,6,have,have
1,1,2,6,7,to,to
1,1,2,6,8,prove,prove
1,1,2,6,9,what,what
1,1,2,6,10,I,i
1,1,2,6,11,have,have
1,1,2,6,12,just,just
1,1,2,6,13,asserted,asserted
1,1,2,7,0,,
1,2,0,0,0,THE,the
1,2,0,0,1,FIRST,first
1,2,0,0,2,SOCIETIES,societies
1,2,1,0,0,The,the
1,2,1,0,1,most,most
1,2,1,0,2,ancient,ancient
1,2,1,0,3,of,of
1,2,1,0,4,all,all
1,2,1,0,5,societies,societies
