book_id,chap_num,para_num,sent_num,,token_str,term_str
5,1,0,0,0,INTRODUCTION,introduction
5,1,0,1,0,,
5,1,1,0,0,1,1
5,1,1,1,0,,
5,1,1,1,1,An,an
5,1,1,1,2,Inquiry,inquiry
5,1,1,1,3,into,into
5,1,1,1,4,the,the
5,1,1,1,5,Understanding,understanding
5,1,1,1,6,pleasant,pleasant
5,1,1,1,7,and,and
5,1,1,1,8,useful,useful
5,1,1,2,0,,
5,1,2,0,0,Since,since
5,1,2,0,1,it,it
5,1,2,0,2,is,is
5,1,2,0,3,the,the
5,1,2,0,4,UNDERSTANDING,understanding
5,1,2,0,5,that,that
5,1,2,0,6,sets,sets
5,1,2,0,7,man,man
5,1,2,0,8,above,above
5,1,2,0,9,the,the
5,1,2,0,10,rest,rest
5,1,2,0,11,of,of
5,1,2,0,12,sensible,sensible
5,1,2,0,13,beings,beings
5,1,2,0,14,and,and
5,1,2,0,15,gives,gives
5,1,2,0,16,him,him
5,1,2,0,17,all,all
5,1,2,0,18,the,the
5,1,2,0,19,advantage,advantage
5,1,2,0,20,and,and
5,1,2,0,21,dominion,dominion
5,1,2,0,22,which,which
5,1,2,0,23,he,he
5,1,2,0,24,has,has
5,1,2,0,25,over,over
5,1,2,0,26,them,them
5,1,2,1,0,,
5,1,2,1,1,it,it
5,1,2,1,2,is,is
5,1,2,1,3,certainly,certainly
5,1,2,1,4,a,a
5,1,2,1,5,subject,subject
5,1,2,1,6,even,even
5,1,2,1,7,for,for
5,1,2,1,8,its,its
5,1,2,1,9,nobleness,nobleness
5,1,2,1,10,worth,worth
5,1,2,1,11,our,our
5,1,2,1,12,labour,labour
5,1,2,1,13,to,to
5,1,2,1,14,inquire,inquire
5,1,2,1,15,into,into
5,1,2,2,0,,
5,1,2,2,1,The,the
5,1,2,2,2,understanding,understanding
5,1,2,2,3,like,like
5,1,2,2,4,the,the
5,1,2,2,5,eye,eye
5,1,2,2,6,whilst,whilst
5,1,2,2,7,it,it
5,1,2,2,8,makes,makes
