book_id,chap_num,para_num,sent_num,,token_str,term_str
6,1,0,0,0,OF,of
6,1,0,0,1,WORDS,words
6,1,0,0,2,OR,or
6,1,0,0,3,LANGUAGE,language
6,1,0,0,4,IN,in
6,1,0,0,5,GENERAL,general
6,1,0,1,0,,
6,1,1,0,0,1,1
6,1,1,1,0,,
6,1,1,1,1,Man,man
6,1,1,1,2,fitted,fitted
6,1,1,1,3,to,to
6,1,1,1,4,form,form
6,1,1,1,5,articulated,articulated
6,1,1,1,6,Sounds,sounds
6,1,1,2,0,,
6,1,2,0,0,God,god
6,1,2,0,1,having,having
6,1,2,0,2,designed,designed
6,1,2,0,3,man,man
6,1,2,0,4,for,for
6,1,2,0,5,a,a
6,1,2,0,6,sociable,sociable
6,1,2,0,7,creature,creature
6,1,2,0,8,made,made
6,1,2,0,9,him,him
6,1,2,0,10,not,not
6,1,2,0,11,only,only
6,1,2,0,12,with,with
6,1,2,0,13,an,an
6,1,2,0,14,inclination,inclination
6,1,2,0,15,and,and
6,1,2,0,16,under,under
6,1,2,0,17,a,a
6,1,2,0,18,necessity,necessity
6,1,2,0,19,to,to
6,1,2,0,20,have,have
6,1,2,0,21,fellowship,fellowship
6,1,2,0,22,with,with
6,1,2,0,23,those,those
6,1,2,0,24,of,of
6,1,2,0,25,his,his
6,1,2,0,26,own,own
6,1,2,0,27,kind,kind
6,1,2,0,28,but,but
6,1,2,0,29,furnished,furnished
6,1,2,0,30,him,him
6,1,2,0,31,also,also
6,1,2,0,32,with,with
6,1,2,0,33,language,language
6,1,2,0,34,which,which
6,1,2,0,35,was,was
6,1,2,0,36,to,to
6,1,2,0,37,be,be
6,1,2,0,38,the,the
6,1,2,0,39,great,great
6,1,2,0,40,instrument,instrument
6,1,2,0,41,and,and
6,1,2,0,42,common,common
6,1,2,0,43,tie,tie
6,1,2,0,44,of,of
6,1,2,0,45,society,society
6,1,2,1,0,,
6,1,2,1,1,Man,man
6,1,2,1,2,therefore,therefore
6,1,2,1,3,had,had
6,1,2,1,4,by,by
6,1,2,1,5,nature,nature
6,1,2,1,6,his,his
6,1,2,1,7,organs,organs
6,1,2,1,8,so,so
6,1,2,1,9,fashioned,fashioned
6,1,2,1,10,as,as
6,1,2,1,11,to,to
6,1,2,1,12,be,be
6,1,2,1,13,fit,fit
6,1,2,1,14,to,to
6,1,2,1,15,frame,frame
6,1,2,1,16,articulate,articulate
6,1,2,1,17,sounds,sounds
6,1,2,1,18,which,which
6,1,2,1,19,we,we
6,1,2,1,20,call,call
6,1,2,1,21,words,words
6,1,2,2,0,,
6,1,2,2,1,But,but
6,1,2,2,2,this,this
6,1,2,2,3,was,was
6,1,2,2,4,not,not
6,1,2,2,5,enough,enough
6,1,2,2,6,to,to
6,1,2,2,7,produce,produce
6,1,2,2,8,language,language
6,1,2,3,0,,
6,1,2,3,1,for,for
6,1,2,3,2,parrots,parrots
6,1,2,3,3,and,and
6,1,2,3,4,several,several
6,1,2,3,5,other,other
6,1,2,3,6,birds,birds
6,1,2,3,7,will,will
6,1,2,3,8,be,be
6,1,2,3,9,taught,taught
6,1,2,3,10,to,to
6,1,2,3,11,make,make
6,1,2,3,12,articulate,articulate
6,1,2,3,13,sounds,sounds
6,1,2,3,14,distinct,distinct
6,1,2,3,15,enough,enough
6,1,2,3,16,which,which
6,1,2,3,17,yet,yet
6,1,2,3,18,by,by
6,1,2,3,19,no,no
6,1,2,3,20,means,means
6,1,2,3,21,are,are
6,1,2,3,22,capable,capable
6,1,2,3,23,of,of
6,1,2,3,24,language,language
6,1,2,4,0,,
6,1,3,0,0,2,2
6,1,3,1,0,,
6,1,3,1,1,To,to
6,1,3,1,2,use,use
6,1,3,1,3,these,these
6,1,3,1,4,sounds,sounds
6,1,3,1,5,as,as
6,1,3,1,6,Signs,signs
6,1,3,1,7,of,of
6,1,3,1,8,Ideas,ideas
6,1,3,2,0,,
6,1,4,0,0,Besides,besides
6,1,4,0,1,articulate,articulate
6,1,4,0,2,sounds,sounds
6,1,4,0,3,therefore,therefore
6,1,4,0,4,it,it
6,1,4,0,5,was,was
6,1,4,0,6,further,further
6,1,4,0,7,necessary,necessary
6,1,4,0,8,that,that
6,1,4,0,9,he,he
6,1,4,0,10,should,should
6,1,4,0,11,be,be
6,1,4,0,12,able,able
6,1,4,0,13,to,to
6,1,4,0,14,use,use
6,1,4,0,15,these,these
6,1,4,0,16,sounds,sounds
6,1,4,0,17,as,as
6,1,4,0,18,signs,signs
6,1,4,0,19,of,of
6,1,4,0,20,internal,internal
6,1,4,0,21,conceptions,conceptions
6,1,4,1,0,,
6,1,4,1,1,and,and
6,1,4,1,2,to,to
6,1,4,1,3,make,make
6,1,4,1,4,them,them
6,1,4,1,5,stand,stand
6,1,4,1,6,as,as
6,1,4,1,7,marks,marks
6,1,4,1,8,for,for
6,1,4,1,9,the,the
6,1,4,1,10,ideas,ideas
6,1,4,1,11,within,within
6,1,4,1,12,his,his
6,1,4,1,13,own,own
6,1,4,1,14,mind,mind
6,1,4,1,15,whereby,whereby
6,1,4,1,16,they,they
6,1,4,1,17,might,might
6,1,4,1,18,be,be
6,1,4,1,19,made,made
6,1,4,1,20,known,known
6,1,4,1,21,to,to
6,1,4,1,22,others,others
6,1,4,1,23,and,and
6,1,4,1,24,the,the
6,1,4,1,25,thoughts,thoughts
6,1,4,1,26,of,of
6,1,4,1,27,men,men
6,1,4,1,28,s,s
6,1,4,1,29,minds,minds
6,1,4,1,30,be,be
6,1,4,1,31,conveyed,conveyed
6,1,4,1,32,from,from
6,1,4,1,33,one,one
6,1,4,1,34,to,to
6,1,4,1,35,another,another
6,1,4,2,0,,
6,1,5,0,0,3,3
6,1,5,1,0,,
6,1,5,1,1,To,to
6,1,5,1,2,make,make
6,1,5,1,3,them,them
6,1,5,1,4,general,general
6,1,5,1,5,Signs,signs
6,1,5,2,0,,
6,1,6,0,0,But,but
6,1,6,0,1,neither,neither
6,1,6,0,2,was,was
6,1,6,0,3,this,this
6,1,6,0,4,sufficient,sufficient
6,1,6,0,5,to,to
6,1,6,0,6,make,make
6,1,6,0,7,words,words
6,1,6,0,8,so,so
6,1,6,0,9,useful,useful
6,1,6,0,10,as,as
6,1,6,0,11,they,they
6,1,6,0,12,ought,ought
6,1,6,0,13,to,to
6,1,6,0,14,be,be
6,1,6,1,0,,
6,1,6,1,1,It,it
6,1,6,1,2,is,is
6,1,6,1,3,not,not
6,1,6,1,4,enough,enough
6,1,6,1,5,for,for
6,1,6,1,6,the,the
6,1,6,1,7,perfection,perfection
6,1,6,1,8,of,of
6,1,6,1,9,language,language
6,1,6,1,10,that,that
6,1,6,1,11,sounds,sounds
6,1,6,1,12,can,can
6,1,6,1,13,be,be
6,1,6,1,14,made,made
6,1,6,1,15,signs,signs
6,1,6,1,16,of,of
6,1,6,1,17,ideas,ideas
6,1,6,1,18,unless,unless
6,1,6,1,19,those,those
6,1,6,1,20,signs,signs
6,1,6,1,21,can,can
6,1,6,1,22,be,be
6,1,6,1,23,so,so
6,1,6,1,24,made,made
6,1,6,1,25,use,use
6,1,6,1,26,of,of
6,1,6,1,27,as,as
6,1,6,1,28,to,to
6,1,6,1,29,comprehend,comprehend
6,1,6,1,30,several,several
6,1,6,1,31,particular,particular
6,1,6,1,32,things,things
6,1,6,2,0,,
6,1,6,2,1,for,for
6,1,6,2,2,the,the
6,1,6,2,3,multiplication,multiplication
6,1,6,2,4,of,of
6,1,6,2,5,words,words
6,1,6,2,6,would,would
6,1,6,2,7,have,have
6,1,6,2,8,perplexed,perplexed
6,1,6,2,9,their,their
6,1,6,2,10,use,use
6,1,6,2,11,had,had
6,1,6,2,12,every,every
6,1,6,2,13,particular,particular
6,1,6,2,14,thing,thing
6,1,6,2,15,need,need
6,1,6,2,16,of,of
6,1,6,2,17,a,a
6,1,6,2,18,distinct,distinct
6,1,6,2,19,name,name
6,1,6,2,20,to,to
6,1,6,2,21,be,be
6,1,6,2,22,signified,signified
6,1,6,2,23,by,by
6,1,6,3,0,,
6,1,6,3,1,[To,[to
6,1,6,3,2,remedy,remedy
6,1,6,3,3,this,this
6,1,6,3,4,inconvenience,inconvenience
6,1,6,3,5,language,language
6,1,6,3,6,had,had
6,1,6,3,7,yet,yet
6,1,6,3,8,a,a
6,1,6,3,9,further,further
6,1,6,3,10,improvement,improvement
6,1,6,3,11,in,in
6,1,6,3,12,the,the
6,1,6,3,13,use,use
6,1,6,3,14,of,of
6,1,6,3,15,GENERAL,general
6,1,6,3,16,TERMS,terms
6,1,6,3,17,whereby,whereby
6,1,6,3,18,one,one
6,1,6,3,19,word,word
6,1,6,3,20,was,was
6,1,6,3,21,made,made
6,1,6,3,22,to,to
6,1,6,3,23,mark,mark
6,1,6,3,24,a,a
6,1,6,3,25,multitude,multitude
6,1,6,3,26,of,of
6,1,6,3,27,particular,particular
6,1,6,3,28,existences,existences
6,1,6,4,0,,
6,1,6,4,1,which,which
6,1,6,4,2,advantageous,advantageous
6,1,6,4,3,use,use
6,1,6,4,4,of,of
6,1,6,4,5,sounds,sounds
6,1,6,4,6,was,was
6,1,6,4,7,obtained,obtained
6,1,6,4,8,only,only
6,1,6,4,9,by,by
6,1,6,4,10,the,the
6,1,6,4,11,difference,difference
6,1,6,4,12,of,of
6,1,6,4,13,the,the
6,1,6,4,14,ideas,ideas
6,1,6,4,15,they,they
6,1,6,4,16,were,were
6,1,6,4,17,made,made
6,1,6,4,18,signs,signs
6,1,6,4,19,of,of
6,1,6,5,0,,
6,1,6,5,1,those,those
6,1,6,5,2,names,names
6,1,6,5,3,becoming,becoming
6,1,6,5,4,general,general
6,1,6,5,5,which,which
6,1,6,5,6,are,are
6,1,6,5,7,made,made
6,1,6,5,8,to,to
6,1,6,5,9,stand,stand
6,1,6,5,10,for,for
6,1,6,5,11,GENERAL,general
6,1,6,5,12,IDEAS,ideas
6,1,6,5,13,and,and
6,1,6,5,14,those,those
6,1,6,5,15,remaining,remaining
6,1,6,5,16,particular,particular
6,1,6,5,17,where,where
6,1,6,5,18,the,the
6,1,6,5,19,IDEAS,ideas
6,1,6,5,20,they,they
6,1,6,5,21,are,are
6,1,6,5,22,used,used
