book_id,chap_num,para_num,sent_num,,token_str,term_str
4,1,0,0,0,However,however
4,1,0,0,1,important,important
4,1,0,0,2,it,it
4,1,0,0,3,may,may
4,1,0,0,4,be,be
4,1,0,0,5,in,in
4,1,0,0,6,order,order
4,1,0,0,7,to,to
4,1,0,0,8,form,form
4,1,0,0,9,a,a
4,1,0,0,10,proper,proper
4,1,0,0,11,judgment,judgment
4,1,0,0,12,of,of
4,1,0,0,13,the,the
4,1,0,0,14,natural,natural
4,1,0,0,15,state,state
4,1,0,0,16,of,of
4,1,0,0,17,man,man
4,1,0,0,18,to,to
4,1,0,0,19,consider,consider
4,1,0,0,20,him,him
4,1,0,0,21,from,from
4,1,0,0,22,his,his
4,1,0,0,23,origin,origin
4,1,0,0,24,and,and
4,1,0,0,25,to,to
4,1,0,0,26,examine,examine
4,1,0,0,27,him,him
4,1,0,0,28,as,as
4,1,0,0,29,it,it
4,1,0,0,30,were,were
4,1,0,0,31,in,in
4,1,0,0,32,the,the
4,1,0,0,33,first,first
4,1,0,0,34,embryo,embryo
4,1,0,0,35,of,of
4,1,0,0,36,the,the
4,1,0,0,37,species,species
4,1,0,1,0,,
4,1,0,1,1,I,i
4,1,0,1,2,shall,shall
4,1,0,1,3,not,not
4,1,0,1,4,attempt,attempt
4,1,0,1,5,to,to
4,1,0,1,6,trace,trace
4,1,0,1,7,his,his
4,1,0,1,8,organization,organization
4,1,0,1,9,through,through
4,1,0,1,10,its,its
4,1,0,1,11,successive,successive
4,1,0,1,12,approaches,approaches
4,1,0,1,13,to,to
4,1,0,1,14,perfection,perfection
4,1,0,2,0,,
4,1,0,2,1,I,i
4,1,0,2,2,shall,shall
4,1,0,2,3,not,not
4,1,0,2,4,stop,stop
4,1,0,2,5,to,to
4,1,0,2,6,examine,examine
4,1,0,2,7,in,in
4,1,0,2,8,the,the
4,1,0,2,9,animal,animal
4,1,0,2,10,system,system
4,1,0,2,11,what,what
4,1,0,2,12,he,he
4,1,0,2,13,might,might
4,1,0,2,14,have,have
4,1,0,2,15,been,been
4,1,0,2,16,in,in
4,1,0,2,17,the,the
4,1,0,2,18,beginning,beginning
4,1,0,2,19,to,to
4,1,0,2,20,become,become
4,1,0,2,21,at,at
4,1,0,2,22,last,last
4,1,0,2,23,what,what
4,1,0,2,24,he,he
4,1,0,2,25,actually,actually
4,1,0,2,26,is,is
4,1,0,3,0,,
4,1,0,3,1,I,i
4,1,0,3,2,shall,shall
4,1,0,3,3,not,not
4,1,0,3,4,inquire,inquire
4,1,0,3,5,whether,whether
4,1,0,3,6,as,as
4,1,0,3,7,Aristotle,aristotle
4,1,0,3,8,thinks,thinks
4,1,0,3,9,his,his
4,1,0,3,10,neglected,neglected
4,1,0,3,11,nails,nails
4,1,0,3,12,were,were
4,1,0,3,13,no,no
4,1,0,3,14,better,better
4,1,0,3,15,at,at
4,1,0,3,16,first,first
4,1,0,3,17,than,than
4,1,0,3,18,crooked,crooked
4,1,0,3,19,talons,talons
4,1,0,4,0,,
4,1,0,4,1,whether,whether
4,1,0,4,2,his,his
4,1,0,4,3,whole,whole
4,1,0,4,4,body,body
4,1,0,4,5,was,was
4,1,0,4,6,not,not
4,1,0,4,7,bear,bear
4,1,0,4,8,like,like
4,1,0,4,9,thick,thick
4,1,0,4,10,covered,covered
4,1,0,4,11,with,with
4,1,0,4,12,rough,rough
4,1,0,4,13,hair,hair
4,1,0,5,0,,
4,1,0,5,1,and,and
4,1,0,5,2,whether,whether
4,1,0,5,3,walking,walking
4,1,0,5,4,upon,upon
4,1,0,5,5,all,all
4,1,0,5,6,fours,fours
4,1,0,5,7,his,his
4,1,0,5,8,eyes,eyes
4,1,0,5,9,directed,directed
4,1,0,5,10,to,to
4,1,0,5,11,the,the
4,1,0,5,12,earth,earth
4,1,0,5,13,and,and
4,1,0,5,14,confined,confined
4,1,0,5,15,to,to
4,1,0,5,16,a,a
4,1,0,5,17,horizon,horizon
4,1,0,5,18,of,of
4,1,0,5,19,a,a
4,1,0,5,20,few,few
4,1,0,5,21,paces,paces
4,1,0,5,22,extent,extent
4,1,0,5,23,did,did
4,1,0,5,24,not,not
4,1,0,5,25,at,at
4,1,0,5,26,once,once
4,1,0,5,27,point,point
4,1,0,5,28,out,out
4,1,0,5,29,the,the
4,1,0,5,30,nature,nature
4,1,0,5,31,and,and
4,1,0,5,32,limits,limits
4,1,0,5,33,of,of
4,1,0,5,34,his,his
4,1,0,5,35,ideas,ideas
4,1,0,6,0,,
4,1,0,6,1,I,i
4,1,0,6,2,could,could
4,1,0,6,3,only,only
4,1,0,6,4,form,form
4,1,0,6,5,vague,vague
4,1,0,6,6,and,and
4,1,0,6,7,almost,almost
4,1,0,6,8,imaginary,imaginary
4,1,0,6,9,conjectures,conjectures
4,1,0,6,10,on,on
4,1,0,6,11,this,this
4,1,0,6,12,subject,subject
4,1,0,7,0,,
4,1,0,7,1,Comparative,comparative
4,1,0,7,2,anatomy,anatomy
4,1,0,7,3,has,has
4,1,0,7,4,not,not
4,1,0,7,5,as,as
4,1,0,7,6,yet,yet
4,1,0,7,7,been,been
4,1,0,7,8,sufficiently,sufficiently
4,1,0,7,9,improved,improved
4,1,0,8,0,,
4,1,0,8,1,neither,neither
4,1,0,8,2,have,have
4,1,0,8,3,the,the
4,1,0,8,4,observations,observations
4,1,0,8,5,of,of
4,1,0,8,6,natural,natural
4,1,0,8,7,philosophy,philosophy
4,1,0,8,8,been,been
4,1,0,8,9,sufficiently,sufficiently
4,1,0,8,10,ascertained,ascertained
4,1,0,8,11,to,to
4,1,0,8,12,establish,establish
4,1,0,8,13,upon,upon
4,1,0,8,14,such,such
4,1,0,8,15,foundations,foundations
4,1,0,8,16,the,the
4,1,0,8,17,basis,basis
4,1,0,8,18,of,of
4,1,0,8,19,a,a
4,1,0,8,20,solid,solid
4,1,0,8,21,system,system
4,1,0,9,0,,
4,1,0,9,1,For,for
4,1,0,9,2,this,this
4,1,0,9,3,reason,reason
4,1,0,9,4,without,without
4,1,0,9,5,having,having
4,1,0,9,6,recourse,recourse
4,1,0,9,7,to,to
4,1,0,9,8,the,the
4,1,0,9,9,supernatural,supernatural
4,1,0,9,10,informations,informations
4,1,0,9,11,with,with
4,1,0,9,12,which,which
4,1,0,9,13,we,we
4,1,0,9,14,have,have
4,1,0,9,15,been,been
4,1,0,9,16,favoured,favoured
4,1,0,9,17,on,on
4,1,0,9,18,this,this
4,1,0,9,19,head,head
4,1,0,9,20,or,or
4,1,0,9,21,paying,paying
4,1,0,9,22,any,any
4,1,0,9,23,attention,attention
4,1,0,9,24,to,to
4,1,0,9,25,the,the
4,1,0,9,26,changes,changes
4,1,0,9,27,that,that
4,1,0,9,28,must,must
4,1,0,9,29,have,have
4,1,0,9,30,happened,happened
4,1,0,9,31,in,in
4,1,0,9,32,the,the
4,1,0,9,33,conformation,conformation
4,1,0,9,34,of,of
4,1,0,9,35,the,the
4,1,0,9,36,interior,interior
4,1,0,9,37,and,and
4,1,0,9,38,exterior,exterior
4,1,0,9,39,parts,parts
4,1,0,9,40,of,of
4,1,0,9,41,man,man
4,1,0,9,42,s,s
4,1,0,9,43,body,body
4,1,0,9,44,in,in
4,1,0,9,45,proportion,proportion
4,1,0,9,46,as,as
4,1,0,9,47,he,he
4,1,0,9,48,applied,applied
4,1,0,9,49,his,his
4,1,0,9,50,members,members
4,1,0,9,51,to,to
4,1,0,9,52,new,new
4,1,0,9,53,purposes,purposes
4,1,0,9,54,and,and
4,1,0,9,55,took,took
4,1,0,9,56,to,to
4,1,0,9,57,new,new
4,1,0,9,58,aliments,aliments
4,1,0,9,59,I,i
4,1,0,9,60,shall,shall
4,1,0,9,61,suppose,suppose
4,1,0,9,62,his,his
4,1,0,9,63,conformation,conformation
4,1,0,9,64,to,to
4,1,0,9,65,have,have
4,1,0,9,66,always,always
4,1,0,9,67,been,been
4,1,0,9,68,what,what
4,1,0,9,69,we,we
4,1,0,9,70,now,now
4,1,0,9,71,behold,behold
4,1,0,9,72,it,it
4,1,0,10,0,,
4,1,0,10,1,that,that
4,1,0,10,2,he,he
4,1,0,10,3,always,always
4,1,0,10,4,walked,walked
4,1,0,10,5,on,on
4,1,0,10,6,two,two
4,1,0,10,7,feet,feet
4,1,0,10,8,made,made
4,1,0,10,9,the,the
4,1,0,10,10,same,same
4,1,0,10,11,use,use
4,1,0,10,12,of,of
4,1,0,10,13,his,his
4,1,0,10,14,hands,hands
4,1,0,10,15,that,that
4,1,0,10,16,we,we
4,1,0,10,17,do,do
4,1,0,10,18,of,of
4,1,0,10,19,ours,ours
4,1,0,10,20,extended,extended
4,1,0,10,21,his,his
4,1,0,10,22,looks,looks
4,1,0,10,23,over,over
4,1,0,10,24,the,the
4,1,0,10,25,whole,whole
4,1,0,10,26,face,face
4,1,0,10,27,of,of
4,1,0,10,28,nature,nature
4,1,0,10,29,and,and
4,1,0,10,30,measured,measured
4,1,0,10,31,with,with
4,1,0,10,32,his,his
4,1,0,10,33,eyes,eyes
4,1,0,10,34,the,the
4,1,0,10,35,vast,vast
4,1,0,10,36,extent,extent
4,1,0,10,37,of,of
4,1,0,10,38,the,the
4,1,0,10,39,heavens,heavens
4,1,0,11,0,,
4,1,1,0,0,If,if
4,1,1,0,1,I,i
4,1,1,0,2,strip,strip
4,1,1,0,3,this,this
4,1,1,0,4,being,being
4,1,1,0,5,thus,thus
4,1,1,0,6,constituted,constituted
4,1,1,0,7,of,of
4,1,1,0,8,all,all
4,1,1,0,9,the,the
4,1,1,0,10,supernatural,supernatural
4,1,1,0,11,gifts,gifts
4,1,1,0,12,which,which
4,1,1,0,13,he,he
4,1,1,0,14,may,may
4,1,1,0,15,have,have
4,1,1,0,16,received,received
4,1,1,0,17,and,and
4,1,1,0,18,of,of
4,1,1,0,19,all,all
4,1,1,0,20,the,the
4,1,1,0,21,artificial,artificial
4,1,1,0,22,faculties,faculties
4,1,1,0,23,which,which
4,1,1,0,24,we,we
4,1,1,0,25,could,could
4,1,1,0,26,not,not
4,1,1,0,27,have,have
4,1,1,0,28,acquired,acquired
4,1,1,0,29,but,but
4,1,1,0,30,by,by
4,1,1,0,31,slow,slow
4,1,1,0,32,degrees,degrees
4,1,1,1,0,,
4,1,1,1,1,if,if
4,1,1,1,2,I,i
4,1,1,1,3,consider,consider
4,1,1,1,4,him,him
4,1,1,1,5,in,in
4,1,1,1,6,a,a
4,1,1,1,7,word,word
4,1,1,1,8,such,such
4,1,1,1,9,as,as
4,1,1,1,10,he,he
4,1,1,1,11,must,must
4,1,1,1,12,have,have
4,1,1,1,13,issued,issued
4,1,1,1,14,from,from
4,1,1,1,15,the,the
4,1,1,1,16,hands,hands
4,1,1,1,17,of,of
4,1,1,1,18,nature,nature
4,1,1,2,0,,
4,1,1,2,1,I,i
4,1,1,2,2,see,see
4,1,1,2,3,an,an
4,1,1,2,4,animal,animal
4,1,1,2,5,less,less
4,1,1,2,6,strong,strong
4,1,1,2,7,than,than
4,1,1,2,8,some,some
4,1,1,2,9,and,and
4,1,1,2,10,less,less
4,1,1,2,11,active,active
4,1,1,2,12,than,than
4,1,1,2,13,others,others
4,1,1,2,14,but,but
4,1,1,2,15,upon,upon
4,1,1,2,16,the,the
4,1,1,2,17,whole,whole
4,1,1,2,18,the,the
4,1,1,2,19,most,most
4,1,1,2,20,advantageously,advantageously
4,1,1,2,21,organized,organized
4,1,1,2,22,of,of
4,1,1,2,23,any,any
4,1,1,3,0,,
4,1,1,3,1,I,i
4,1,1,3,2,see,see
4,1,1,3,3,him,him
4,1,1,3,4,satisfying,satisfying
4,1,1,3,5,the,the
4,1,1,3,6,calls,calls
4,1,1,3,7,of,of
4,1,1,3,8,hunger,hunger
4,1,1,3,9,under,under
4,1,1,3,10,the,the
4,1,1,3,11,first,first
4,1,1,3,12,oak,oak
4,1,1,3,13,and,and
4,1,1,3,14,those,those
4,1,1,3,15,of,of
4,1,1,3,16,thirst,thirst
4,1,1,3,17,at,at
4,1,1,3,18,the,the
4,1,1,3,19,first,first
4,1,1,3,20,rivulet,rivulet
4,1,1,4,0,,
4,1,1,4,1,I,i
4,1,1,4,2,see,see
4,1,1,4,3,him,him
4,1,1,4,4,laying,laying
4,1,1,4,5,himself,himself
4,1,1,4,6,down,down
4,1,1,4,7,to,to
4,1,1,4,8,sleep,sleep
4,1,1,4,9,at,at
4,1,1,4,10,the,the
4,1,1,4,11,foot,foot
4,1,1,4,12,of,of
4,1,1,4,13,the,the
4,1,1,4,14,same,same
4,1,1,4,15,tree,tree
4,1,1,4,16,that,that
4,1,1,4,17,afforded,afforded
4,1,1,4,18,him,him
4,1,1,4,19,his,his
4,1,1,4,20,meal,meal
4,1,1,5,0,,
4,1,1,5,1,and,and
4,1,1,5,2,behold,behold
4,1,1,5,3,this,this
4,1,1,5,4,done,done
4,1,1,5,5,all,all
4,1,1,5,6,his,his
4,1,1,5,7,wants,wants
4,1,1,5,8,are,are
4,1,1,5,9,completely,completely
4,1,1,5,10,supplied,supplied
4,1,1,6,0,,
4,1,2,0,0,The,the
4,1,2,0,1,earth,earth
4,1,2,0,2,left,left
4,1,2,0,3,to,to
4,1,2,0,4,its,its
4,1,2,0,5,own,own
4,1,2,0,6,natural,natural
4,1,2,0,7,fertility,fertility
4,1,2,0,8,and,and
4,1,2,0,9,covered,covered
4,1,2,0,10,with,with
4,1,2,0,11,immense,immense
4,1,2,0,12,woods,woods
4,1,2,0,13,that,that
4,1,2,0,14,no,no
4,1,2,0,15,hatchet,hatchet
4,1,2,0,16,ever,ever
4,1,2,0,17,disfigured,disfigured
4,1,2,0,18,offers,offers
4,1,2,0,19,at,at
4,1,2,0,20,every,every
4,1,2,0,21,step,step
4,1,2,0,22,food,food
4,1,2,0,23,and,and
4,1,2,0,24,shelter,shelter
4,1,2,0,25,to,to
4,1,2,0,26,every,every
4,1,2,0,27,species,species
4,1,2,0,28,of,of
4,1,2,0,29,animals,animals
4,1,2,1,0,,
4,1,2,1,1,Men,men
4,1,2,1,2,dispersed,dispersed
4,1,2,1,3,among,among
