topic_id,0,1,2,3,4,5,6,7,8,label,doc_weight_sum,term_freq,hobbes,locke,rousseau,author
T00,aaron,pieces,person soveraign,persons,peru,peter,phantasme,phantasmes,philosopher,"T00 aaron, pieces, person soveraign, persons, peru, peter, phantasme, phantasmes, philosopher",0.018515867971522625,0.0006883165154668553,0.00021299710955017406,5.701207902161909e-05,8.693615311200984e-05,hobbes
T01,power,men,worship,man,god,commonwealth,image,lawes,actions,"T01 power, men, worship, man, god, commonwealth, image, lawes, actions",3.357760888861675,0.021445906087702523,0.00021299710955017406,0.03873113128009421,8.693615311200986e-05,locke
T02,aaron,pieces,person soveraign,persons,peru,peter,phantasme,phantasmes,philosopher,"T02 aaron, pieces, person soveraign, persons, peru, peter, phantasme, phantasmes, philosopher",0.018515867971522625,0.0006883165154668553,0.00021299710955017406,5.701207902161909e-05,8.693615311200984e-05,hobbes
T03,ideas,idea,mind,things,substances,power,minds,modes,parts,"T03 ideas, idea, mind, things, substances, power, minds, modes, parts",11.432457641978989,0.04836016511261147,0.001537371098374268,0.10566194084590072,8.693615311200984e-05,locke
T04,words,ideas,names,use,signification,men,word,idea,things,"T04 words, ideas, names, use, signification, men, word, idea, things",8.726933641081152,0.050942651361178704,0.00021299710955017406,0.015066451402430384,0.0024666728596984752,locke
T05,god,spirit,sense,men,place,word,words,spirits,vision,"T05 god, spirit, sense, men, place, word, words, spirits, vision",2.4641639431561466,0.018738732334843095,0.003482348761719703,0.02698312026585087,8.693615311200986e-05,locke
T06,ideas,relation,things,relations,idea,men,thing,man,actions,"T06 ideas, relation, things, relations, idea, men, thing, man, actions",3.22667720123799,0.01707324754381728,0.002380573603089045,0.02630628616048737,0.0012029504196996784,locke
T07,law,man,nature,men,lawes,crime,commonwealth,law nature,reason,"T07 law, man, nature, men, lawes, crime, commonwealth, law nature, reason",5.4987385281363155,0.04356920430382944,0.0198823813928215,0.047235838914877884,0.027523453403216065,locke
T08,property,land,use,labour,right,men,man,life,nature,"T08 property, land, use, labour, right, men, man, life, nature",2.077141127734763,0.01098100629015821,0.015501867422729116,0.0015884014723374644,0.06286692309736168,rousseau
T09,duration,idea,ideas,space,time,motion,infinity,mind,succession,"T09 duration, idea, ideas, space, time, motion, infinity, mind, succession",3.135642375706188,0.026383273079992383,0.001461798840607465,0.03602388295718534,8.693615311200984e-05,locke
T10,modes,ideas,names,mind,ideas names,actions,notice,men,modes ideas,"T10 modes, ideas, names, mind, ideas names, actions, notice, men, modes ideas",1.478423742234681,0.00410762074025729,0.00021299710955017406,0.015531216014460125,8.693615311200984e-05,locke
T11,men,man,state,nature,laws,society,life,time,people,"T11 men, man, state, nature, laws, society, life, time, people",11.208434141902535,0.10607592408874897,0.18251034370917887,0.024716261474600328,0.005893896678232417,hobbes
T12,body,space,idea,parts,motion,extension,bodies,place,substance,"T12 body, space, idea, parts, motion, extension, bodies, place, substance",2.515309316799059,0.01733586026117251,0.0016721798187676626,0.026006206525108613,0.0008378606541150974,locke
T13,consequences,commonwealth,bodies,soveraign,science,man,letters,distribution,body,"T13 consequences, commonwealth, bodies, soveraign, science, man, letters, distribution, body",2.3743887815282636,0.008546115865111184,0.00021299710955017406,0.027570124336228918,0.000995271505434142,locke
T14,species,ideas,essence,things,idea,names,essences,substances,man,"T14 species, ideas, essence, things, idea, names, essences, substances, man",4.427301811898124,0.04480216846620622,0.00021299710955017406,0.009269246257651324,8.693615311200986e-05,locke
T15,knowledge,ideas,agreement,agreement disagreement,disagreement,mind,disagreement ideas,demonstration,perception,"T15 knowledge, ideas, agreement, agreement disagreement, disagreement, mind, disagreement ideas, demonstration, perception",4.000388684576416,0.019909605186088582,0.0012487347731995919,0.002410161899370862,8.693615311200986e-05,locke
T16,power,action,pleasure,mind,pain,man,happiness,desire,liberty,"T16 power, action, pleasure, mind, pain, man, happiness, desire, liberty",3.9066568758142957,0.03258674105112768,0.0014265634533250353,0.038262952218358834,0.029490486623336958,locke
T17,men,principles,god,minds,innate,truth,man,knowledge,principle,"T17 men, principles, god, minds, innate, truth, man, knowledge, principle",2.1529749139787384,0.01821374025069328,0.0021417298535591606,0.018641442965775013,0.0014568271113416912,locke
T18,philosophy,men,man,body,law,cause,place,names,schools,"T18 philosophy, men, man, body, law, cause, place, names, schools",1.3613897557987125,0.012240940652283197,0.0009838796402731323,0.015420206506697943,8.693615311200986e-05,locke
T19,aaron,pieces,person soveraign,persons,peru,peter,phantasme,phantasmes,philosopher,"T19 aaron, pieces, person soveraign, persons, peru, peter, phantasme, phantasmes, philosopher",0.018515867971522625,0.0006883165154668553,0.00021299710955017406,5.701207902161909e-05,8.693615311200984e-05,hobbes
T20,abstract,abstract idea,difference ideas,thing essence,rationality,signifies,essence man,grammarians,chiefly,"T20 abstract, abstract idea, difference ideas, thing essence, rationality, signifies, essence man, grammarians, chiefly",0.1021895515787733,0.0007994516873982125,0.00021299710955017406,5.701207902161909e-05,8.693615311200984e-05,hobbes
T21,man,consciousness,identity,person,substance,body,soul,actions,self,"T21 man, consciousness, identity, person, substance, body, soul, actions, self",1.171658934435377,0.012992008750174951,0.00023458657088525062,0.013305324031342073,8.693615311200986e-05,locke
T22,perception,ideas,mind,sensation,idea,animals,notice,man,cube,"T22 perception, ideas, mind, sensation, idea, animals, notice, man, cube",1.0893210356699097,0.004408581943621004,0.00021299710955017406,0.012654719934296762,8.693615311200984e-05,locke
T23,soveraign,commonwealth,assembly,authority,soveraignty,people,person,subjects,power,"T23 soveraign, commonwealth, assembly, authority, soveraignty, people, person, subjects, power",3.083517038579286,0.018621524044190617,0.00021299710955017406,0.03527355384673509,0.003855100382170904,locke
T24,aaron,pieces,person soveraign,persons,peru,peter,phantasme,phantasmes,philosopher,"T24 aaron, pieces, person soveraign, persons, peru, peter, phantasme, phantasmes, philosopher",0.018515867971522625,0.0006883165154668553,0.00021299710955017406,5.701207902161909e-05,8.693615311200984e-05,hobbes
T25,god,word,prophets,prophet,man,time,books,miracles,words,"T25 god, word, prophets, prophet, man, time, books, miracles, words",3.53989537274324,0.016803091203002437,0.010743111458646275,0.03553858873802285,8.693615311200986e-05,locke
T26,ideas,qualities,motion,senses,mind,bodies,man,soul,objects,"T26 ideas, qualities, motion, senses, mind, bodies, man, soul, objects",7.61646193371182,0.032982600582161604,0.0014873674836636457,0.07689111158914834,8.693615311200984e-05,locke
T27,men,power,man,time,things,right,reason,nature,people,"T27 men, power, man, time, things, right, reason, nature, people",9.695996891860423,0.06208609630614241,0.009129296216556762,0.10558645616204936,0.014797247716018548,locke
T28,power,society,state,laws,people,men,nature,force,state nature,"T28 power, society, state, laws, people, men, nature, force, state nature",11.052397620818159,0.03868326063083041,0.017333049732235505,0.0011309321242129345,0.5327625163171371,rousseau
T29,aaron,pieces,person soveraign,persons,peru,peter,phantasme,phantasmes,philosopher,"T29 aaron, pieces, person soveraign, persons, peru, peter, phantasme, phantasmes, philosopher",0.018515867971522625,0.0006883165154668553,0.00021299710955017406,5.701207902161909e-05,8.693615311200984e-05,hobbes
T30,government,people,state,body,laws,power,authority,sovereign,prince,"T30 government, people, state, body, laws, power, authority, sovereign, prince",31.606533931017434,0.05829204398035984,0.5961428671920858,0.008792199604899532,0.11792364379935788,hobbes
T31,children,father,power,man,law,parents,reason,nature,government,"T31 children, father, power, man, law, parents, reason, nature, government",3.5492175003993975,0.02066626727551779,0.011390233226285981,0.007432564870977036,0.12468021570618289,rousseau
T32,god,religion,moses,gods,people,kingdome,church,priests,authority,"T32 god, religion, moses, gods, people, kingdome, church, priests, authority",1.6547566314265696,0.012998497374055899,0.004511483771715554,0.01687952271044644,8.693615311200986e-05,locke
T33,god,christ,church,man,power,kingdome,men,saviour,apostles,"T33 god, christ, church, man, power, kingdome, men, saviour, apostles",6.160676354486113,0.08442613490156727,0.0008446510027305874,0.07177884051835978,0.0009019720635429525,locke
T34,reason,use,mind,ideas,propositions,men,knowledge,principles,maxims,"T34 reason, use, mind, ideas, propositions, men, knowledge, principles, maxims",4.239985904681085,0.02834358841106261,0.002838540249158431,0.024233705563038863,0.0008753654618016794,locke
T35,knowledge,ideas,propositions,certainty,idea,truth,existence,things,proposition,"T35 knowledge, ideas, propositions, certainty, idea, truth, existence, things, proposition",5.3259282678636595,0.02829613241921789,0.00021299710955017406,0.00550143662705436,8.693615311200986e-05,locke
T36,people,interests,associations,differences,agreement,society,man,societies,act,"T36 people, interests, associations, differences, agreement, society, man, societies, act",2.1974849598156787,0.0017506085035582555,0.0453592119248768,5.701207902161909e-05,0.000715924611452883,hobbes
T37,right,man,nature,liberty,covenant,men,war,law,life,"T37 right, man, nature, liberty, covenant, men, war, law, life",6.979988593904399,0.02588724615339124,0.0582812960753116,0.03508290398644412,0.06308659738708138,rousseau
T38,man,matter,things,thing,men,knowledge,thoughts,probability,reason,"T38 man, matter, things, thing, men, knowledge, thoughts, probability, reason",9.266305068929594,0.042961013780018015,0.004279576084950701,0.05978063241249057,0.005841414987465308,locke
T39,number,names,idea,numbers,ideas,confusion,millions,addition,millions millions,"T39 number, names, idea, numbers, ideas, confusion, millions, addition, millions millions",1.2303216957974066,0.004247366800573385,0.0002129971095501747,0.014313551229914371,8.693615311200986e-05,locke
