book_id,chap_num,para_num,sent_num,,token_str,term_str
3,1,0,0,0,AN,an
3,1,0,0,1,ESSAY,essay
3,1,0,0,2,CONCERNING,concerning
3,1,0,0,3,THE,the
3,1,0,0,4,TRUE,true
3,1,0,0,5,ORIGINAL,original
3,1,0,0,6,EXTENT,extent
3,1,0,0,7,AND,and
3,1,0,0,8,END,end
3,1,0,0,9,OF,of
3,1,0,0,10,CIVIL,civil
3,1,0,0,11,GOVERNMENT,government
3,1,1,0,0,Sect,sect
3,1,1,1,0,,
3,1,1,1,1,1,1
3,1,1,2,0,,
3,1,1,2,1,It,it
3,1,1,2,2,having,having
3,1,1,2,3,been,been
3,1,1,2,4,shewn,shewn
3,1,1,2,5,in,in
3,1,1,2,6,the,the
3,1,1,2,7,foregoing,foregoing
3,1,1,2,8,discourse,discourse
3,1,1,2,9,,
3,1,2,0,0,(<i>1</i>),(<i>1</i>)
3,1,2,1,0,,
3,1,2,1,1,That,that
3,1,2,1,2,Adam,adam
3,1,2,1,3,had,had
3,1,2,1,4,not,not
3,1,2,1,5,either,either
3,1,2,1,6,by,by
3,1,2,1,7,natural,natural
3,1,2,1,8,right,right
3,1,2,1,9,of,of
3,1,2,1,10,fatherhood,fatherhood
3,1,2,1,11,or,or
3,1,2,1,12,by,by
3,1,2,1,13,positive,positive
3,1,2,1,14,donation,donation
3,1,2,1,15,from,from
3,1,2,1,16,God,god
3,1,2,1,17,any,any
3,1,2,1,18,such,such
3,1,2,1,19,authority,authority
3,1,2,1,20,over,over
3,1,2,1,21,his,his
3,1,2,1,22,children,children
3,1,2,1,23,or,or
3,1,2,1,24,dominion,dominion
3,1,2,1,25,over,over
3,1,2,1,26,the,the
3,1,2,1,27,world,world
3,1,2,1,28,as,as
3,1,2,1,29,is,is
3,1,2,1,30,pretended,pretended
3,1,2,2,0,,
3,1,3,0,0,(<i>2</i>),(<i>2</i>)
3,1,3,1,0,,
3,1,3,1,1,That,that
3,1,3,1,2,if,if
3,1,3,1,3,he,he
3,1,3,1,4,had,had
3,1,3,1,5,his,his
3,1,3,1,6,heirs,heirs
3,1,3,1,7,yet,yet
3,1,3,1,8,had,had
3,1,3,1,9,no,no
3,1,3,1,10,right,right
3,1,3,1,11,to,to
3,1,3,1,12,it,it
3,1,3,2,0,,
3,1,4,0,0,(<i>3</i>),(<i>3</i>)
3,1,4,1,0,,
3,1,4,1,1,That,that
3,1,4,1,2,if,if
3,1,4,1,3,his,his
3,1,4,1,4,heirs,heirs
3,1,4,1,5,had,had
3,1,4,1,6,there,there
3,1,4,1,7,being,being
3,1,4,1,8,no,no
3,1,4,1,9,law,law
3,1,4,1,10,of,of
3,1,4,1,11,nature,nature
3,1,4,1,12,nor,nor
3,1,4,1,13,positive,positive
3,1,4,1,14,law,law
3,1,4,1,15,of,of
3,1,4,1,16,God,god
3,1,4,1,17,that,that
3,1,4,1,18,determines,determines
3,1,4,1,19,which,which
3,1,4,1,20,is,is
3,1,4,1,21,the,the
3,1,4,1,22,right,right
3,1,4,1,23,heir,heir
3,1,4,1,24,in,in
3,1,4,1,25,all,all
3,1,4,1,26,cases,cases
3,1,4,1,27,that,that
3,1,4,1,28,may,may
3,1,4,1,29,arise,arise
3,1,4,1,30,the,the
3,1,4,1,31,right,right
3,1,4,1,32,of,of
3,1,4,1,33,succession,succession
3,1,4,1,34,and,and
3,1,4,1,35,consequently,consequently
3,1,4,1,36,of,of
3,1,4,1,37,bearing,bearing
3,1,4,1,38,rule,rule
3,1,4,1,39,could,could
3,1,4,1,40,not,not
3,1,4,1,41,have,have
3,1,4,1,42,been,been
3,1,4,1,43,certainly,certainly
3,1,4,1,44,determined,determined
3,1,4,2,0,,
3,1,5,0,0,(<i>4</i>),(<i>4</i>)
3,1,5,1,0,,
3,1,5,1,1,That,that
3,1,5,1,2,if,if
